gef_id,project_title,project_url,doc_title,doc_url,doc_type,country
11485,"Support to the elaboration of the First Biennial Transparency Report (BTR1), the combined Second Biennial Transparency and the Fourth National Communication report (BTR2/NC4) of Algeria to the UNFCCC",https://www.thegef.org/projects-operations/projects/11485,CEO Approval,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/7b56a3ef-3f88-ee11-8179-000d3a348f46_CEOEndorsement.pdf,CEO Endorsement,Algeria
11485,"Support to the elaboration of the First Biennial Transparency Report (BTR1), the combined Second Biennial Transparency and the Fourth National Communication report (BTR2/NC4) of Algeria to the UNFCCC",https://www.thegef.org/projects-operations/projects/11485,CEO Endorsement/Approval Review Sheet Document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/7b56a3ef-3f88-ee11-8179-000d3a348f46_ReviewSheet_CEOEndorsement.pdf,CEO Endorsement,Algeria
11438,Child Project of the Global Clean Hydrogen Programme of Algeria,https://www.thegef.org/projects-operations/projects/11438,CEO Endorsement/Approval Review Sheet Document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/c838d738-4c6b-ee11-8df0-00224803ab65_ReviewSheet_CEOEndorsement.pdf,CEO Endorsement,Algeria
11438,Child Project of the Global Clean Hydrogen Programme of Algeria,https://www.thegef.org/projects-operations/projects/11438,CEO endorsement document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/c838d738-4c6b-ee11-8df0-00224803ab65_CEOEndorsement.pdf,CEO Endorsement,Algeria
11345,Reshaping Algeria’s Cities for a Clean and Healthy Environment Today and Tomorrow (REACT),https://www.thegef.org/projects-operations/projects/11345,CEO Endorsement/Approval Review Sheet Document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/d769c614-ee68-ee11-9ae7-000d3a5c4115_ReviewSheet_CEOEndorsement.pdf,CEO Endorsement,Algeria
11345,Reshaping Algeria’s Cities for a Clean and Healthy Environment Today and Tomorrow (REACT),https://www.thegef.org/projects-operations/projects/11345,FSP CEO endorsement document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/d769c614-ee68-ee11-9ae7-000d3a5c4115_CEOEndorsement.pdf,CEO Endorsement,Algeria
11179,"Restoration and sustainable forest management of the Algerian Aleppo pine forest, ecosystem",https://www.thegef.org/projects-operations/projects/11179,11179_Screen,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/00a8ee33-58d8-ed11-a7c7-000d3a5c4115_STAPReview.pdf,NA,Algeria
11179,"Restoration and sustainable forest management of the Algerian Aleppo pine forest, ecosystem",https://www.thegef.org/projects-operations/projects/11179,CEO Endorsement/Approval Review Sheet Document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/00a8ee33-58d8-ed11-a7c7-000d3a5c4115_ReviewSheet_CEOEndorsement.pdf,CEO Endorsement,Algeria
11179,"Restoration and sustainable forest management of the Algerian Aleppo pine forest, ecosystem",https://www.thegef.org/projects-operations/projects/11179,FSP CEO endorsement document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/00a8ee33-58d8-ed11-a7c7-000d3a5c4115_CEOEndorsement.pdf,CEO Endorsement,Algeria
11179,"Restoration and sustainable forest management of the Algerian Aleppo pine forest, ecosystem",https://www.thegef.org/projects-operations/projects/11179,GEFSEC Review,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/00a8ee33-58d8-ed11-a7c7-000d3a5c4115_ReviewSheet_PIF.pdf,Project Identification Form,Algeria
11179,"Restoration and sustainable forest management of the Algerian Aleppo pine forest, ecosystem",https://www.thegef.org/projects-operations/projects/11179,PIF,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/00a8ee33-58d8-ed11-a7c7-000d3a5c4115_PIF.pdf,Project Identification Form,Algeria
10080,AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level,https://www.thegef.org/projects-operations/projects/10080,CEO Endorsement/Approval Review Sheet Document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/83a1b9f2-50c6-e811-8141-3863bb3c31e0_ReviewSheet_CEOEndorsement.pdf,CEO Endorsement,Algeria
10080,AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level,https://www.thegef.org/projects-operations/projects/10080,FSP CEO endorsement document,https://publicpartnershipdata.azureedge.net/gef/GEFProjectVersions/83a1b9f2-50c6-e811-8141-3863bb3c31e0_CEOEndorsement.pdf,CEO Endorsement,Algeria
10080,AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level,https://www.thegef.org/projects-operations/projects/10080,Final STAP Screen_PIF10080_AIM-WELL-Algeria Integrated Management of Waste Energy at the Local Level (002),https://publicpartnershipdata.azureedge.net/gef/GEFDocuments/83a1b9f2-50c6-e811-8141-3863bb3c31e0/Roadmap/STAPreview_Final%20STAP%20Screen_PIF10080_AIM-WELL-Algeria%20Integrated%20Management%20of%20Waste%20Energy%20at%20the%20Local%20Level%20%28002%29.pdf,Project Identification Form,Algeria
10045,Third National Communication and First Biennial Update Report of Algeria to the UNFCCC,https://www.thegef.org/projects-operations/projects/10045,EA Request Document re submission,https://publicpartnershipdata.azureedge.net/gef/PMISGEFDocuments/Climate%20Change/Algeria%20-%20%2810045%29%20-%20Third%20National%20Communication%20and%20First%20Biennial%20Up/04-19-18_EA_Request_Document_re_submission.pdf,NA,"Algeria, Regional"
10045,Third National Communication and First Biennial Update Report of Algeria to the UNFCCC,https://www.thegef.org/projects-operations/projects/10045,Review Sheet (PDF),https://publicpartnershipdata.azureedge.net/gef/PMISGEFDocuments/Climate%20Change/Algeria%20-%20%2810045%29%20-%20Third%20National%20Communication%20and%20First%20Biennial%20Up/10045-2018-04-25-105814-GEFReviewSheetGEF61EA.pdf,Review Sheet,"Algeria, Regional"
